,comment,freq
488,broadway,38
489,casa,43
490,valley,43
491,california,47
492,ohio,57
493,island,58
494,chicago,63
495,york,73
496,virginia,80
497,florida,101
